GenreID,GenreName,MovieCount,MovieCountPercent,MovieCountYoY,BoxOffice,BoxOfficePercent,BoxOfficeYoY,ShowCount,ShowCountPercent,ShowCountYoY,AudienceCount,AudienceCountPercent,AudienceCountYoY,year
13,科幻,13,3.48,30.0,6398679291.0,21.57,111.19,5876680,14.64,112.18,167280076,19.94,118.1,2014
27,战争,10,2.67,66.67,180853873.0,0.61,3545.8,446702,1.11,1526.74,5711321,0.68,3418.82,2014
96,纪录片,10,2.67,-37.5,36829756.0,0.12,-65.66,61054,0.15,-59.11,1326123,0.16,-58.94,2014
45,奇幻,4,1.07,-33.33,1557201112.0,5.25,-14.02,1221012,3.04,-10.96,37866249,4.51,-15.63,2014
29,歌舞,4,1.07,300.0,1521786.0,0.01,-49.58,12291,0.03,-44.83,59765,0.01,-34.85,2014
35,舞台艺术片,2,0.53,0.0,6525249.0,0.02,0.0,12664,0.03,0.0,240856,0.03,0.0,2014
50,灾难,1,0.27,-50.0,19999257.0,0.07,-64.07,70425,0.18,-44.68,655311,0.08,-63.77,2014
1,爱情,106,22.51,0.95,5284283147.0,11.88,-0.53,9201298,16.8,3.21,165245018,12.88,2.31,2015
12,剧情,93,19.75,97.87,2859958437.0,6.43,123.85,3458505,6.31,135.95,85366005,6.65,114.59,2015
21,喜剧,71,15.07,82.05,10366034703.0,23.3,204.7,11936323,21.79,202.87,315057145,24.56,215.67,2015
5,动作,60,12.74,17.65,12519777664.0,28.14,72.59,13714958,25.04,29.45,347159838,27.06,73.0,2015
4,动画,54,11.46,0.0,4258171216.0,9.57,35.07,6431980,11.74,26.65,125304933,9.77,36.85,2015
40,惊悚,35,7.43,2.94,264921741.0,0.6,-75.04,1303787,2.38,-46.88,8828730,0.69,-72.87,2015
96,纪录片,17,3.61,70.0,37598840.0,0.08,2.09,83100,0.15,36.11,1073765,0.08,-19.03,2015
27,战争,15,3.18,50.0,466830535.0,1.05,158.13,278687,0.51,-37.61,11507601,0.9,101.49,2015
13,科幻,9,1.91,-30.77,3967746375.0,8.92,-37.99,4691507,8.57,-20.17,105653829,8.24,-36.84,2015
45,奇幻,7,1.49,75.0,3830615935.0,8.61,145.99,2969015,5.42,143.16,100950586,7.87,166.6,2015
