,ds,t,trend,seasonal_lower,seasonal_upper,trend_lower,trend_upper,yhat_lower,yhat_upper,Christmas Eve,Christmas Eve_lower,Christmas Eve_upper,National Day,National Day_lower,National Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Spring Festival,Spring Festival_lower,Spring Festival_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,seasonal,yhat
11,2010-01-12,0.004303599374021909,15359489.433429202,-18730370.507663313,-18730370.507663313,15359489.433429202,15359489.433429202,-51604414.52965289,49510193.26020457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16146065.878741372,-16146065.878741372,-16146065.878741372,-2584304.6289219414,-2584304.6289219414,-2584304.6289219414,-18730370.507663313,-3370881.0742341112
12,2010-01-13,0.004694835680751174,15385957.102188269,-24767528.0272842,-24767528.0272842,15385957.102188269,15385957.102188269,-56592528.42412792,40785201.62069661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20552432.729021866,-20552432.729021866,-20552432.729021866,-4215095.298262342,-4215095.298262342,-4215095.298262342,-24767528.02728421,-9381570.92509594
13,2010-01-14,0.005086071987480438,15412424.770947337,-21197173.26672154,-21197173.26672154,15412424.770947337,15412424.770947337,-56755247.47830224,41939249.434099615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15476419.07292056,-15476419.07292056,-15476419.07292056,-5720754.193800978,-5720754.193800978,-5720754.193800978,-21197173.26672154,-5784748.495774202
14,2010-01-15,0.005477308294209703,15438892.439706406,-397269.57487789425,-397269.57487789425,15438892.439706406,15438892.439706406,-30731422.175818726,66210554.75009465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6677102.461719246,6677102.461719246,6677102.461719246,-7074372.03659714,-7074372.03659714,-7074372.03659714,-397269.5748778945,15041622.864828512
15,2010-01-16,0.005868544600938967,15465360.108465472,30642122.364434227,30642122.364434227,15465360.108465474,15465360.108465474,-3334249.5636690464,93884207.11802177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38893217.98998849,38893217.98998849,38893217.98998849,-8251095.62555426,-8251095.62555426,-8251095.62555426,30642122.36443423,46107482.472899705
16,2010-01-17,0.006259780907668232,15491827.77722454,16284674.29767576,16284674.29767576,15491827.77722454,15491827.77722454,-20124945.1688673,84018047.04320249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25513248.95908106,25513248.95908106,25513248.95908106,-9228574.661405304,-9228574.661405304,-9228574.661405304,16284674.297675757,31776502.0749003
17,2010-01-18,0.006651017214397496,15518295.44598361,-28896025.02687458,-28896025.02687458,15518295.44598361,15518295.44598361,-63040665.55604951,37266760.70463426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18908651.730007358,-18908651.730007358,-18908651.730007358,-9987373.296867222,-9987373.296867222,-9987373.296867222,-28896025.02687458,-13377729.58089097
18,2010-01-19,0.007042253521126761,15544763.114742676,-26657404.344520368,-26657404.344520368,15544763.114742676,15544763.114742676,-62435243.38319274,38439853.65480407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16146065.878736297,-16146065.878736297,-16146065.878736297,-10511338.465784067,-10511338.465784067,-10511338.465784067,-26657404.344520364,-11112641.229777688
19,2010-01-20,0.007433489827856025,15571230.783501744,-31340350.37849592,-31340350.37849592,15571230.783501744,15571230.783501744,-62091971.94789927,35202788.3394572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20552432.729015216,-20552432.729015216,-20552432.729015216,-10787917.649480697,-10787917.649480697,-10787917.649480697,-31340350.378495913,-15769119.594994169
20,2010-01-21,0.00782472613458529,15597698.45226081,-26284838.569962755,-26284838.569962755,15597698.45226081,15597698.45226081,-60103786.76641322,39121912.1579521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15476419.072920604,-15476419.072920604,-15476419.072920604,-10808419.497042157,-10808419.497042157,-10808419.497042157,-26284838.569962762,-10687140.117701951
21,2010-01-22,0.008215962441314555,15624166.12101988,-3891109.157322993,-3891109.157322993,15624166.12101988,15624166.12101988,-38123670.441057645,63882619.842568696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6677102.461643148,6677102.461643148,6677102.461643148,-10568211.61896614,-10568211.61896614,-10568211.61896614,-3891109.1573229916,11733056.963696888
22,2010-01-23,0.008607198748043818,15650633.789778948,28826367.08209382,28826367.08209382,15650633.789778948,15650633.789778948,-4253473.531756215,93328419.06107903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38893217.98996605,38893217.98996605,38893217.98996605,-10066850.907872232,-10066850.907872232,-10066850.907872232,28826367.08209382,44477000.87187277
23,2010-01-24,0.008998435054773083,15677101.458538014,16205106.068658317,16205106.068658317,15677101.458538014,15677101.458538014,-17519147.878206663,78608493.66496353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25513248.959032327,25513248.959032327,25513248.959032327,-9308142.890374003,-9308142.890374003,-9308142.890374003,16205106.068658324,31882207.52719634
24,2010-01-25,0.009389671361502348,15703569.127297083,-27208779.59186848,-27208779.59186848,15703569.127297083,15703569.127297083,-64668354.19762205,36227320.012168355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18908651.730028532,-18908651.730028532,-18908651.730028532,-8300127.861839948,-8300127.861839948,-8300127.861839948,-27208779.591868483,-11505210.4645714
25,2010-01-26,0.009780907668231613,15730036.79605615,-23201058.758022606,-23201058.758022606,15730036.79605615,15730036.79605615,-56765356.02151061,42987703.79870926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16146065.878731072,-16146065.878731072,-16146065.878731072,-7054992.879291536,-7054992.879291536,-7054992.879291536,-23201058.758022606,-7471021.961966457
26,2010-01-27,0.010172143974960876,15756504.464815218,-26141342.791826315,-26141342.791826315,15756504.464815218,15756504.464815218,-60269140.925043635,39656091.6377459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20552432.729008574,-20552432.729008574,-20552432.729008574,-5588910.062817735,-5588910.062817735,-5588910.062817735,-26141342.791826308,-10384838.32701109
27,2010-01-28,0.01056338028169014,15782972.133574286,-19398222.1296523,-19398222.1296523,15782972.133574286,15782972.133574286,-52189598.28675439,43615148.575982936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15476419.072911153,-15476419.072911153,-15476419.072911153,-3921803.0567411496,-3921803.0567411496,-3921803.0567411496,-19398222.129652303,-3615249.9960780162
28,2010-01-29,0.010954616588419406,15809439.802333353,4600057.561144072,4600057.561144072,15809439.802333353,15809439.802333353,-30060361.35927352,69518482.7845572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6677102.461711283,6677102.461711283,6677102.461711283,-2077044.9005672093,-2077044.9005672093,-2077044.9005672093,4600057.5611440735,20409497.363477428
29,2010-01-30,0.01134585289514867,15835907.471092422,38812126.062439345,38812126.062439345,15835907.471092422,15835907.471092422,2508335.904857943,103217478.86999233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38893217.98997512,38893217.98997512,38893217.98997512,-81091.92753576692,-81091.92753576692,-81091.92753576692,38812126.06243935,54648033.53353177
30,2010-01-31,0.011737089201877934,15862375.13985149,27550189.34226949,27550189.34226949,15862375.13985149,15862375.13985149,-9283035.096899958,90682900.64355606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25513248.959034234,25513248.959034234,25513248.959034234,2036940.383235253,2036940.383235253,2036940.383235253,27550189.342269488,43412564.482120976
31,2010-02-01,0.012128325508607199,15888842.808610557,-14662899.273905233,-14662899.273905233,15888842.808610557,15888842.808610557,-50829932.37660802,51985000.409371726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18908651.730049707,-18908651.730049707,-18908651.730049707,4245752.4561444735,4245752.4561444735,4245752.4561444735,-14662899.273905233,1225943.534705324
32,2010-02-02,0.012519561815336464,15915310.477369625,-9633687.555881964,-9633687.555881964,15915310.477369625,15915310.477369625,-42669541.41589574,59837085.372297555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16146065.878740145,-16146065.878740145,-16146065.878740145,6512378.322858179,6512378.322858179,6512378.322858179,-9633687.555881966,6281622.921487659
33,2010-02-03,0.012910798122065728,15941778.146128692,-11749695.95454977,-11749695.95454977,15941778.146128692,15941778.146128692,-48061704.75976811,50134313.51257198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20552432.729007404,-20552432.729007404,-20552432.729007404,8802736.774457637,8802736.774457637,8802736.774457637,-11749695.954549767,4192082.1915789247
34,2010-02-04,0.013302034428794992,15968245.81488776,-4394213.108308737,-4394213.108308737,15968245.81488776,15968245.81488776,-40221973.7493121,58233568.41597174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15476419.072886059,-15476419.072886059,-15476419.072886059,11082205.964577321,11082205.964577321,11082205.964577321,-4394213.108308738,11574032.706579022
35,2010-02-05,0.013693270735524257,15994713.483646829,19993313.325098094,19993313.325098094,15994713.483646829,15994713.483646829,-13448679.528594572,84406615.95222634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6677102.461716556,6677102.461716556,6677102.461716556,13316210.863381537,13316210.863381537,13316210.863381537,19993313.325098094,35988026.80874492
36,2010-02-06,0.014084507042253521,16021181.152405895,54364030.555702254,54364030.555702254,16021181.152405895,16021181.152405895,19039469.705480557,119951366.41164404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38893217.98997665,38893217.98997665,38893217.98997665,15470812.56572561,15470812.56572561,15470812.56572561,54364030.55570226,70385211.70810816
37,2010-02-07,0.014475743348982786,16047648.821164964,43026537.239282414,43026537.239282414,16047648.821164964,16047648.821164964,10364549.176077956,107886198.92174026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25513248.959065847,25513248.959065847,25513248.959065847,17513288.280216567,17513288.280216567,17513288.280216567,43026537.239282414,59074186.06044738
38,2010-02-08,0.01486697965571205,16074116.489924032,504039.14806138317,504039.14806138317,16074116.489924032,16074116.489924032,-33518701.87044721,64443629.24089323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18908651.730007295,-18908651.730007295,-18908651.730007295,19412690.878068674,19412690.878068674,19412690.878068674,504039.1480613798,16578155.637985412
39,2010-02-09,0.015258215962441314,16100584.158683099,4994311.287001494,4994311.287001494,16100584.158683099,16100584.158683099,-26552253.970081184,75170926.38582908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16146065.878734915,-16146065.878734915,-16146065.878734915,21140377.165736407,21140377.165736407,21140377.165736407,4994311.287001492,21094895.44568459
40,2010-02-10,0.01564945226917058,16127051.827442167,2118061.8332319306,2118061.8332319306,16127051.827442167,16127051.827442167,-32855739.639740624,69429929.44470187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20552432.729020104,-20552432.729020104,-20552432.729020104,22670494.562252034,22670494.562252034,22670494.562252034,2118061.8332319297,18245113.660674095
41,2010-02-11,0.016040688575899843,16153519.496201234,8503997.531265168,8503997.531265168,16153519.496201234,16153519.496201234,-22991599.232850906,76602436.21404989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15476419.072911238,-15476419.072911238,-15476419.072911238,23980416.604176402,23980416.604176402,23980416.604176402,8503997.531265164,24657517.027466398
42,2010-02-12,0.01643192488262911,16179987.164960302,31728221.1188144,31728221.1188144,16179987.164960302,16179987.164960302,-2226031.6552178734,94047644.78330122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6677102.461753266,6677102.461753266,6677102.461753266,25051118.657061137,25051118.657061137,25051118.657061137,31728221.1188144,47908208.283774704
43,2010-02-13,0.016823161189358372,16206454.83371937,7795899.223036024,7795899.223036024,16206454.833719369,16206454.833719369,-25889650.302167643,75599112.8019519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56964805.131193385,-56964805.131193385,-56964805.131193385,38893217.98995421,38893217.98995421,38893217.98995421,25867486.364275176,25867486.364275176,25867486.364275176,7795899.223036006,24002354.05675538
44,2010-02-14,0.017214397496087636,16232922.502478437,199930685.90424585,199930685.90424585,16232922.502478437,16232922.502478437,168368579.92911017,267646629.80166453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147998886.25419104,147998886.25419104,147998886.25419104,25513248.959042434,25513248.959042434,25513248.959042434,26418550.691012397,26418550.691012397,26418550.691012397,199930685.90424585,216163608.4067243
45,2010-02-15,0.017605633802816902,16259390.171237506,120968625.93606149,120968625.93606149,16259390.171237506,16259390.171237506,88554484.24548827,184325117.95604196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113179632.77016135,113179632.77016135,113179632.77016135,-18908651.730042614,-18908651.730042614,-18908651.730042614,26697644.89594276,26697644.89594276,26697644.89594276,120968625.93606149,137228016.107299
46,2010-02-16,0.017996870109546165,16285857.839996574,115882136.57502669,115882136.57502669,16285857.839996574,16285857.839996574,83561439.36983112,182941369.58096406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105325722.09848443,105325722.09848443,105325722.09848443,-16146065.878744146,-16146065.878744146,-16146065.878744146,26702480.355286416,26702480.355286416,26702480.355286416,115882136.57502669,132167994.41502327
47,2010-02-17,0.018388106416275432,16312325.508755641,109496660.11019552,109496660.11019552,16312325.508755641,16312325.508755641,73798141.78512175,174149096.67747715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103613952.99949622,103613952.99949622,103613952.99949622,-20552432.72900508,-20552432.72900508,-20552432.72900508,26435139.83970436,26435139.83970436,26435139.83970436,109496660.1101955,125808985.61895114
48,2010-02-18,0.018779342723004695,16338793.17751471,127852705.45945838,127852705.45945838,16338793.17751471,16338793.17751471,93932539.45255023,191378710.97380412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117427135.96543014,117427135.96543014,117427135.96543014,-15476419.072901784,-15476419.072901784,-15476419.072901784,25901988.56693004,25901988.56693004,25901988.56693004,127852705.4594584,144191498.6369731
49,2010-02-19,0.01917057902973396,16365260.846273776,118818384.31631647,118818384.31631647,16365260.846273776,16365260.846273776,86114298.07010831,181973542.64491355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87027776.77069506,87027776.77069506,87027776.77069506,6677102.461708595,6677102.461708595,6677102.461708595,25113505.083912823,25113505.083912823,25113505.083912823,118818384.31631649,135183645.16259027
50,2010-02-20,0.019561815336463225,16391728.515032845,152314926.69650427,152314926.69650427,16391728.515032845,16391728.515032845,120150791.67705324,219170085.4527963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89337672.97454892,89337672.97454892,89337672.97454892,38893217.989955746,38893217.989955746,38893217.989955746,24084035.731999602,24084035.731999602,24084035.731999602,152314926.69650427,168706655.21153712
51,2010-02-21,0.01995305164319249,16418196.183791913,48344727.037070036,48344727.037070036,16418196.183791913,16418196.183791913,16822291.148649063,110853033.52695474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25513248.95901902,25513248.95901902,25513248.95901902,22831478.078051023,22831478.078051023,22831478.078051023,48344727.03707004,64762923.22086196
52,2010-02-22,0.02034428794992175,16444663.85255098,2468248.4848886374,2468248.4848886374,16444663.85255098,16444663.85255098,-34342084.71550044,61081053.49394409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18908651.730049647,-18908651.730049647,-18908651.730049647,21376900.214938287,21376900.214938287,21376900.214938287,2468248.4848886393,18912912.33743962
53,2010-02-23,0.020735524256651018,16471131.521310048,3598038.331214019,3598038.331214019,16471131.521310048,16471131.521310048,-30440055.261741735,71186858.19380397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16146065.878753219,-16146065.878753219,-16146065.878753219,19744104.209967233,19744104.209967233,19744104.209967233,3598038.3312140144,20069169.852524064
54,2010-02-24,0.02112676056338028,16497599.190069115,-2593289.552657147,-2593289.552657147,16497599.190069115,16497599.190069115,-33298224.10752901,63246366.58787827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20552432.729012296,-20552432.729012296,-20552432.729012296,17959143.176355146,17959143.176355146,17959143.176355146,-2593289.5526571497,13904309.637411965
55,2010-02-25,0.021517996870109544,16524066.858828183,573383.3577102048,573383.3577102048,16524066.858828183,16524066.858828183,-30598375.160411403,66839495.847823516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15476419.072901823,-15476419.072901823,-15476419.072901823,16049802.43061203,16049802.43061203,16049802.43061203,573383.3577102069,17097450.216538392
56,2010-02-26,0.02190923317683881,16550534.527587252,20722158.4145756,20722158.4145756,16550534.527587252,16550534.527587252,-10578075.67313385,85279446.87309138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6677102.461745303,6677102.461745303,6677102.461745303,14045055.9528303,14045055.9528303,14045055.9528303,20722158.414575603,37272692.94216286
57,2010-02-27,0.022300469483568074,16577002.196346318,50867727.85753624,50867727.85753624,16577002.19634632,16577002.19634632,19266096.406539,117190558.65845343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38893217.98998878,38893217.98998878,38893217.98998878,11974509.867547475,11974509.867547475,11974509.867547475,50867727.85753626,67444730.05388257
58,2010-02-28,0.02269170579029734,16603469.865105389,35381093.854783125,35381093.854783125,16603469.865105389,16603469.865105389,68247.73474414562,101996911.58642504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25513248.958995607,25513248.958995607,25513248.958995607,9867844.895787524,9867844.895787524,9867844.895787524,35381093.85478313,51984563.71988852
59,2010-03-01,0.023082942097026604,16629937.533864455,-11154382.042936908,-11154382.042936908,16629937.533864455,16629937.533864455,-43074888.7217783,56032114.59426621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18908651.73000723,-18908651.73000723,-18908651.73000723,7754269.687070324,7754269.687070324,7754269.687070324,-11154382.042936906,5475555.490927549
60,2010-03-02,0.023474178403755867,16656405.202623522,-10484069.256688526,-10484069.256688526,16656405.202623522,16656405.202623522,-43186387.283088304,56519715.78180541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16146065.878747983,-16146065.878747983,-16146065.878747983,5661996.622059462,5661996.622059462,5661996.622059462,-10484069.25668852,6172335.945935002
61,2010-03-03,0.023865414710485134,16682872.871382592,-16934681.640659522,-16934681.640659522,16682872.871382592,16682872.871382592,-49931703.521576375,51927636.86496187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20552432.729011122,-20552432.729011122,-20552432.729011122,3617751.0883516,3617751.0883516,3617751.0883516,-16934681.640659522,-251808.76927693002
62,2010-03-04,0.024256651017214397,16709340.54014166,-13830094.686721368,-13830094.686721368,16709340.54014166,16709340.54014166,-48938725.73569283,50700496.149704665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15476419.072901865,-15476419.072901865,-15476419.072901865,1646324.386180497,1646324.386180497,1646324.386180497,-13830094.686721368,2879245.853420293
63,2010-03-05,0.02464788732394366,16735808.208900725,6447281.797933986,6447281.797933986,16735808.208900725,16735808.208900725,-28188345.052290667,77039763.59274441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6677102.461669201,6677102.461669201,6677102.461669201,-229820.66373521276,-229820.66373521276,-229820.66373521276,6447281.797933988,23183090.006834716
64,2010-03-06,0.025039123630672927,16762275.877659796,36902334.35426476,36902334.35426476,16762275.877659796,16762275.877659796,1409499.2950130266,98348829.8660231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38893217.98993485,38893217.98993485,38893217.98993485,-1990883.6356700836,-1990883.6356700836,-1990883.6356700836,36902334.354264766,53664610.23192456
65,2010-03-07,0.02543035993740219,16788743.546418864,21893255.315294795,21893255.315294795,16788743.546418864,16788743.546418864,-11017314.134989195,88527640.8044607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25513248.959027212,25513248.959027212,25513248.959027212,-3619993.643732421,-3619993.643732421,-3619993.643732421,21893255.31529479,38681998.861713655
66,2010-03-08,0.025821596244131457,16815211.21517793,-24012056.779735386,-24012056.779735386,16815211.21517793,16815211.21517793,-62617483.631246604,43273604.2371365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18908651.73004255,-18908651.73004255,-18908651.73004255,-5103405.04969283,-5103405.04969283,-5103405.04969283,-24012056.77973538,-7196845.564557448
67,2010-03-09,0.02621283255086072,16841678.883936998,-22576684.681505874,-22576684.681505874,16841678.883936998,16841678.883936998,-53474437.963199034,45751194.363998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16146065.878742756,-16146065.878742756,-16146065.878742756,-6430618.8027631175,-6430618.8027631175,-6430618.8027631175,-22576684.681505874,-5735005.797568876
68,2010-03-10,0.026604068857589983,16868146.552696068,-28146861.009433523,-28146861.009433523,16868146.552696068,16868146.552696068,-59582926.97344969,38130784.442797914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20552432.729009964,-20552432.729009964,-20552432.729009964,-7594428.280423552,-7594428.280423552,-7594428.280423552,-28146861.009433515,-11278714.456737448
69,2010-03-11,0.02699530516431925,16894614.221455134,-24067309.393138163,-24067309.393138163,16894614.221455134,16894614.221455134,-55189568.04754847,43907679.37661539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15476419.072901908,-15476419.072901908,-15476419.072901908,-8590890.320236254,-8590890.320236254,-8590890.320236254,-24067309.393138163,-7172695.171683028
