UpTime,sDate,eDate,SumBoxOffice,SumServicePrice,SumShowCount,SumOfferSeat,SumAudienceCount,SumAvgBoxOffice,SumAvgShowPeople,SumCinemaCount,SumScreen,SumCinemaSeat,SumAvgBoxOffice1,SumAvgShowPeople1,SumAttendance,year
09:30,2010-01-01,2010-12-31,9479595074.18,,8123940.0,1227406564.0,268412663.0,35.0,33.0,9424,47920,6623815,35.0,33.0,22.0,2010
18:40,2011-01-01,2011-12-31,11846777184.98,,12691563.0,1834204029.0,335731561.0,35.0,26.0,9430,47966,6628873,35.0,26.0,18.0,2011
18:40,2012-01-01,2012-12-31,16563414115.52,,20611084.0,2849399983.0,463264741.0,36.0,22.0,9430,47966,6628873,36.0,22.0,16.0,2012
19:00,2013-01-01,2013-12-31,21474052137.67,,28720660.0,3916752216.0,614247112.0,35.0,21.0,9430,47966,6628873,35.0,21.0,16.0,2013
19:00,2014-01-01,2014-12-31,29434943715.17,,39884980.0,5316764019.0,834450062.0,35.0,21.0,9430,47966,6628873,35.0,21.0,16.0,2014
19:00,2015-01-01,2015-12-31,43880726250.36,,54414327.0,7236367218.0,1260901786.0,35.0,23.0,9430,47966,6628873,35.0,23.0,17.0,2015
19:00,2016-01-01,2016-12-31,45521258100.12,,74792800.0,9784934106.0,1373663393.0,33.0,18.0,9430,47966,6628873,33.0,18.0,14.0,2016
