Irank,EnMovieID,MovieName,BoxOffice,ShowCount,AudienceCount,AvgBoxOffice,ServicePrice
98,615430,澳门风云,524898732.0,530589,16222577,32,0.0
99,617329,小时代3：刺金时代,521563476.0,495365,16487629,31,
100,596800,北京遇上西雅图,520168488.0,533235,16502621,31,8.0
101,625695,一步之遥,514965672.0,485941,12213021,42,
102,643995,愤怒的小鸟,513938612.0,988696,16181626,31,0.0
103,637578,滚蛋吧！肿瘤君,511060039.0,603335,15194318,33,24.0
104,593764,黑衣人3,503426336.0,434953,12422989,40,
105,644099,独立日：卷土重来,503206137.0,591167,14086708,35,
106,339971,哈利·波特与死亡圣器(下),491385935.0,260641,10317296,47,
107,617351,小时代4：灵魂尽头,488427027.0,475487,15756973,30,
108,655318,熊出没·奇幻空间,487097328.0,561223,15149935,34,33238217.0
109,618528,左耳,485224846.0,581570,14272507,33,80.0
110,614305,小时代,484781194.0,477518,15236831,31,
111,631381,王牌特工：特工学院,484525039.0,484304,14286736,33,
112,640103,我不是潘金莲,483714299.0,712471,13779885,35,2878.0
113,626889,哥斯拉,481417253.0,492376,12654688,38,
114,628225,摆渡人,478041469.0,756437,14675712,32,4930506.0
115,370427,加勒比海盗4：惊涛怪浪,464410325.0,270838,12128087,38,
116,341721,霍比特人2：史矛革之战,462726123.0,434651,11326043,40,
117,566417,盗梦空间,462352668.0,268497,13404181,34,
118,588459,非诚勿扰2,456097160.0,270362,11821637,38,
119,609338,同桌的你,455748904.0,608208,13881311,32,224.0
120,615487,敢死队3,453290200.0,597290,13982659,32,
121,642658,星球大战外传：侠盗一号,452845025.0,1012721,13048233,36,25493491.0
122,576173,2012,452269844.0,210401,14014741,32,
124,604230,冰川时代4：大陆漂移,447435886.0,413833,11745961,38,
125,643772,冰川时代5：星际碰撞,447276638.0,925455,14167850,31,0.0
126,644495,谍影重重5,447106942.0,844910,13418344,33,0.0
127,631303,灰姑娘,444784553.0,592180,14123738,31,
128,644394,星际迷航3：超越星辰,440979293.0,880122,12457710,35,13.0
129,660278,一条狗的使命,437949426.0,884020,15728890,30,36666218.0
130,631837,小黄人大眼萌,435801257.0,654210,12805426,34,0.0
131,602981,地心引力,435643833.0,466042,10515572,41,
132,630178,奔跑吧！兄弟,434517762.0,562998,13892197,31,32.0
133,657651,血战钢锯岭,421034432.0,772240,14341088,29,5564619.0
134,639056,百团大战,413673210.0,211074,10089239,41,
135,615668,速度与激情6,413310079.0,378023,12418303,33,0.0
